arg,tittle,genres,argumento
27075,Reunión familiar de Addams (1998),Niños | Comedia | Fantasía,La familia Addams va a buscar a sus familiares.
27105,Purgatorio (1999),Fantasía | Western,"Una banda de proscritos pasea a una ciudad que en realidad es purgatoria, entre el cielo y el infierno."
27124,Bleeder (1999),Drama | Suspenso,"Dos historias por el precio de uno: Lenny trabaja en una tienda de videos e intenta obtener aquiinted con la camarera Lea. Leo le gana a su esposa embarazada, Louise, que es una muy mala idea, como su hermano, Louis, es un racista violento."
27134,Portales oscuros: las crónicas de Vidocq (Vidocq) (2001),Acción | Crimen | Fantasía,"París, 1830: Vidocq es asesinado por un hombre enmascarado. Un ladrón se convirtió en investigador, trabajaba en un caso de hombres asesinados por un rayo. Su biógrafo trata de resolver el caso."
27140,Candyman 3: Día de los Muertos (1999),Horror,"El Candyman está de vuelta, tratando de convencer a su descendiente, un artista, a unirse a él."
27155,"Batman / Superman Movie, The (1998)",Acción | Aventura | Animación | Niños | Fantasía | Ciencia ficción,"Joker va a Metropolis con una oferta y planea matar a Superman para Lex Luthor, mientras que Batman persigue al payaso a Superman's Turf."
27156,"Neon Genesis Evangelion: El final de Evangelion (Shin Seiki Evangelion Gekijã'-Ban: Air / Magokoro Wo, Kimi Ni) (1997)",Acción | Animación | Drama | Fantasía | Ciencia ficción,Terminación teatral concurrente de la serie de televisión Neon Genesis Evangelion (1995).
27176,Estilo Wars (1983),Documental,"Un documental que expone la rica subcultura creciente del hip-hop que se estaba desarrollando en la ciudad de Nueva York a fines de los años 70 y principios de los años 80, centrándose específicamente en el arte y la división de graffiti."
27178,En julio (im juli) (2000),Comedia | romance,"Una maestra joven e insegura se embarca en un viaje a través de Europa a Turquía, donde quiere ver a una mujer otra vez con quien él cree que es su destino."
27186,Kirikou y la hechicera (Kirikou et la Sorcière) (1998),Aventura | Animación | Niños | Fantasía,"En un pueblo africano con problemas, nace un bebé inusual."
27193,Taxi 2 (2000),Acción | comedia,"El inspector de policía Emilien y su taxi-conductor, Pal Daniel, están de vuelta, esta vez en la cola de un grupo de Yakuza japonés."
27246,Si estas paredes pudieran hablar 2 (2000),Drama | Romance,Trío de historias sobre parejas lesbianas en tres décadas diferentes.
27251,"10º Reino, el (2000)",Aventura | Comedia | Fantasía,"Un padre e hija están atrapados en un universo paralelo, donde la gran reina, la nieve blanca, la Cenicienta y la Capucha III, han tenido sus reinos fragmentados por los trolls, gigantes y duendes en guerra."
27255,"El viento nos llevará, el (Bad Ma Ra Khahad Bord) (1999)",Drama,"El ingeniero de la ciudad irreverente Behzad llega a un pueblo rural en Irán para mantener a la vigilia para un pariente moribundo. Mientras tanto, la película sigue sus esfuerzos para encajar con la comunidad local y cómo cambia sus propias actitudes como resultado."
27266,2046 (2004),Drama | Fantasía | Romance | Ciencia ficción,"Varias mujeres ingresan a la vida de un autor de ciencia ficción a lo largo de unos pocos años, después de que el autor ha perdido a la mujer que considera su único amor verdadero."
27306,Bartleby (2001),Comedia | drama,Un jefe despistado no tiene idea de qué hacer con su oficinista mundano cuya negativa de los deberes solo empeora cada minuto que pasa.
27311,Batman más allá: regreso del Joker (2000),Acción | Animación | Crimen | Ciencia ficción | Thriller,"El Joker está de vuelta con una venganza, y el nuevo caballero oscuro de Gotham necesita respuestas, ya que está solo para enfrentar el príncipe del crimen más infame del payaso de Gotham."
27317,"Audición (Ã ""deshonra) (1999)",Drama | Horror | Misterio | Romance | Thriller,"Un viudo toma una oferta para analizar a las niñas en una audición especial, organizada para él por un amigo que lo encuentre una nueva esposa. El que él fantasía no es quien parece estar después de todo."
27320,"Nueve vidas de Tomas Katz, The (2000)",Comedia | drama | fantasía,"El último día de la creación. Un extraño llega a Londres. Nadie sabe quién es él o de dónde proviene. Cuando se va, todo el universo se habrá borrado. Una comedia negra ..."
27328,Lunes (2000),Acción | Comedia | Crimen | Fantasía | Thriller,Un funeral simple convierte el mundial de un hombre Topsy Turvy.
27329,Paradise perdió 2: Revelaciones (2000),Documental,"El caso de West Memphis tres, sus circunstancias cuestionables y las partes involucradas se siguen a años más tarde."
27368,Asterix & Obelix: Mission Cleopatra (AstÃ © Rix & OBÃ © LIX: MISION CLECHOP ¢ TRE) (2002),Aventura | Comedia | Fantasía,AstÃ © Rix y OBÃ © LIX van a Egipto para ayudar a el arquitecto NumÃ © Robis que está construyendo un palacio para Cleopatra.
27369,Daria: ¿Ya se cae? (2000),Animación | Comedia,"Esta película animada de Hecho para TV, basada en el golpe de MTV ""Daria"", explora las vacaciones de verano de Daria y sus compañeros de clase en Lawndale High."
27370,Tiendas nocturnas (2001),Comedia,"Cuatro jóvenes amigos tienen trabajos nocturnos tediosos y se reúnen cada noche después del trabajo en una cafetería. Sean no ha conocido a su novia en tres semanas, Vincent coquetea con todos, Lenny tiene demasiado miedo a ..."
27373,61 * (2001),Drama,Roger Maris y Mickey Mantle Race para romper el registro de la administración de una sola temporada de Babe Ruth.
27397,Área de seguridad conjunta (Gongdong Gyeongbi Guyeok JSA) (2000),Crimen | drama | misterio | thriller | guerra,"Después de un incidente de disparo en el borde norte / surcoreano, DMZ, deja a 2 soldados norcoreanos muertos, un equipo suizo neutral / sueco investiga, lo que realmente sucedió."
27408,Ripley's Game (2002),Drama | Suspenso,Se convence a un hombre de familia moribundo que necesita dinero para asesinar a un jefe de crimen europeo.
27416,¡Jalla! ¡Jalla! (2000),Comedia | drama | romance,"Roro, un trabajador extranjero en los parques suecos, ama a su novia, pero está a punto de casarse con otra chica para evitar que ella le envíe al Líbano. El mejor amigo de Roros, MÃ ¥ NS, tiene su propio ..."
27420,Teknolust (2002),Comedia | drama | romance | ciencia ficción,"Academy-Awardã, Winner Tilda Swinton juega cuatro roles en esta galardonada ciencia ficción sobre Rosetta Stone y sus tres automatones de auto-replicación, (S.R.A.'s), que ella clonó desde su propio ADN."
27426,"Espía accidental, el (Dak Miu Mai Shing) (2001)",Acción | Comedia | Thriller,"En un centro comercial Hong Kong, la intuición de Buck Yuen (Jackie Chan) le advierte. Él salva el botín de un robo y se pone en televisión, termina en Estambul a través de Corea del Sur, y accidentalmente se convierte en un espía. Afortunadamente, él conoce Kung Fu."
27434,Oscuridad (2002),Horror | misterio,"Una adolescente se muda a una casa de campo remoto con su familia, solo para descubrir que su nuevo hogar sombrío tiene un pasado horrible que amenaza con destruir a la familia."
27441,Sangre: el último vampiro (2000),Acción | Animación | Horror,"Saya es un asesino de vampiros japoneses cuya próxima misión está en una escuela secundaria en una base militar estadounidense en la década de 1960, Japón, donde ella plantea como estudiante. Ella usa una espada de katana / samurai para matar a los vampiros."
27450,Arándano (2004),Aventura | occidental,"En 1870, después de una carrera brutal con un proscrito en un burdel, Mike Blueberry se convierte en mariscal en Arizona, donde mantiene la paz entre los blancos y los apaches, pero una afluencia de cazadores de tesoros de oro indios amenaza con conducir a la violencia."
27473,American Psycho II: All American Girl (2002),Comedia | crimen | horror | misterio | thriller,Una niña llamada Rachael Newman ha desarrollado un gusto por el asesinato y se detendrá ante nada para convertirse en asistente del profesor de la universidad.
27478,Ali G Indahouse (2002),Comedia,"Ali G, sin saberlo, se convierte en un peón en la trama del Canciller para derrocar al Primer Ministro de Gran Bretaña. Sin embargo, Ali está abrazada por la nación como una voz de los jóvenes, haciendo que el PM y su gobierno sean más populares que nunca."
27480,Muerto o vivo 2: TÃ'bÃ'sha (2000),Acción | Crimen | Thriller,Dos asesinos de contratos cruzan los caminos en medio del mismo trabajo y se dan cuenta de que son amigos infantiles.
27482,Cube 2: Hypercube (2002),Horror | misterio | ciencia ficción,"Ocho extraños se despiertan sin memoria, en una habitación en forma de cubo desconcertante donde las leyes de la física no siempre se aplican."
27491,Pulso (Kairo) (2001),Horror | Misterio | Thriller,Dos grupos de personas descubren evidencia que sugiere que los espíritus pueden estar tratando de invadir el mundo humano a través de Internet.
27513,Días de perro (Hundstage) (2001),Drama,"En la tumba, como la tranquilidad de su purgatorio de estilo rancho, un esposo divorciado y una esposa luchan contra una guerra sin palabras mientras lloran una pérdida mutua indescriptible. La humillación ritual de un amante sádico engendra tanto la ternura como la venganza."
27523,My Sassy Girl (Yeopgijeogin Geunyeo) (2001),Comedia | romance,"Un joven ve un borracho, una mujer linda de pie demasiado cerca de las pistas en una estación de metro en Seúl y la empuja hacia atrás. Ella termina meterse en problemas repetidamente después de eso, comenzando en el tren."
27537,Nada (2003),Comedia | fantasía | misterio | ciencia ficción,"Después de un día terrible, dos buenos amigos y compañeros de casa encuentran que el mundo exterior se convierte en un vacío blanco sin rasgos y vacíos."
27539,Emprendiendo Betty (parcelas con vistas) (2002),Comedia | romance,"Una mujer, cuyo marido la está engañando, y un compromiso, que ha estado enamorado de ella desde su infancia, decide falsificar su muerte para que puedan estar juntos."
27549,Muerto o vivo: Final (2002),Comedia | crimen | drama | ciencia ficción | thriller,El ACE COP de una fuerza policial totalitaria y una androide a la deriva desempeñan sus partes en una sociedad post-apocalíptica. Están destinados a luchar. Su encuentro los cambiará para siempre.
27555,Fubar (2002),Comedia,"Los cabezales Terry y Dean exploran las profundidades de la amistad, y el arte y la ciencia de beber cerveza como un hombre."
27563,"Felicidad del katakuris, el (Katakuri-ke no kã'fuku) (2001)",Comedia | horror | musical,"Una familia se muda al país para dirigir una posada de montaña rústica cuando, a su horror, los clientes comienzan a ocurrir repentinos y poco probables."
27584,Callejón sin salida (2003),Comedia | horror | misterio | thriller,"Nochebuena. En su camino a sus suegros con su familia, Frank Harrington decide probar un atajo, por primera vez en 20 años. Resulta ser el mayor error de su vida."
27592,Simpatía por el Sr. Vengeance (Boksuneun Naui Geot) (2002),Crimen | drama,"Un trabajador de fábrica recientemente despedido secuestre a su hija del ex jefe del jefe, con la esperanza de usar el dinero del rescate para pagar el trasplante de riñón de su hermana."
27595,Jesucristo Vampire Hunter (2001),Acción | Comedia | Horror | Musical,Kung-Fu Acción / Comedia / Horror / Musical Sobre la segunda venida.
27604,Club suicida (Jisatsu Saakuru) (2001),Horror | Misterio | Thriller,Un detective está tratando de encontrar la causa de una cadena de suicidios.
27611,Battlestar Galactica (2003),Drama | Sci-Fi | Guerra,"Tras la destrucción de las doce colonias de Kobol por los cylons, una flota fugitiva de los últimos remanentes de la humanidad huye de los cintos perseguidos, mientras que buscaba simultáneamente su verdadero hogar: la Tierra."
27618,"Sonido de Thunder, A (2005)",Acción | aventura | drama | ciencia ficción | thriller,"Un solo error en el pasado, por una compañía de viajes de tiempo en el futuro, tiene consecuencias devastadoras e imprevistas."
27619,"León King 1½, el (2004)",Aventura | Animación | Niños | Comedia,Timon The Meerkat y Pumbaa El Warthog vuelve a contar la historia de El Rey León (1994) desde su propia perspectiva.
27627,Oasis (2002),Drama | Romance,Un ex contresto irresponsable e infantil se hace amigo de una niña con parálisis cerebral y desarrolla un vínculo progresivamente más fuerte con ella.
27644,Recuérdame (Ricordati di yo) (2003),Comedia | drama | romance,"En la disfunción en la familia de la familia de clase media italiana, el ejecutivo de mediana edad Carlo tiene una vida estancada sin pasión, aburrida en su trabajo y teniendo una vida monótona con su esposa ..."
27660,"Animatrix, el (2003)",Acción | animación | drama | ciencia ficción,Una colección de nueve cortometrajes con historias relacionadas con Matrix (1999).
27664,"Conejito marrón, el (2003)",Drama,"Carreras de motocicletas profesionales de Bud Clay de New Hampshire a California para competir de nuevo. En el camino, conoce a varias mujeres necesitadas que le brindan la cura a su propia soledad, pero solo una cierta mujer de su pasado realmente le satisfará."
27667,Juicio: la maldición (2000),Horror,"Un maestro visita la casa de uno de sus estudiantes después de que el niño desaparece, solo para tener una excusa horrible por su ausencia de la escuela."
27674,11:14 (2003),Comedia | crimen | drama | Misterio | Thriller,"Los eventos que conducen a un 11:14 p.m. Crash Coche, desde cinco perspectivas muy diferentes."
27683,Tremores 4: La leyenda comienza (2004),Acción | comedia | horror | ciencia ficción | Thriller | Western,"Una precuela de Temblores (1990), esta película nos cuenta sobre cómo se fundó la ciudad de la perfección, Nevada se fundó y cómo lo defendieron contra los Graboides con la ayuda de Burt Gummer's Ancestre, Hiram."
27685,TRARLO DE NUEVO (2004),Comedia,"Cuando los nuevos estudiantes no pueden llegar a su equipo de animadora universitaria, forman su propio escuadrón y se preparan para una animación."
27689,"Ríos Crimson 2: Ángeles del Apocalipsis (Rivières PourPres II - Les Anges de l'Apocalypse, LES) (2004)",Acción | Crimen | Thriller,Pierre Niemans se enfrenta a la amenaza del apocalipsis mientras investiga una serie de asesinatos rituales.
27692,Y protagonizada por Pancho Villa como él mismo (2003),Acción | comedia | drama | guerra,Hollywood hace un acuerdo con el revolucionario villa de Pancho mexicano para filmar su guerra y recrear su vida.
27695,Nicotina (2003),Acción | comedia | drama,Una comedia oscura en tiempo real sobre un geek de ciencias que se enreda con un embrague de los maderas rusos después de entregarles el disco de computadora equivocado.
27704,Battle Royale 2: Requiem (Batoru Rilaiaru II: Chinkonka) (2003),Acción | drama | thriller | guerra,"Tres años después de la falla del programa del último BR, se forja un segundo acto y se envía una clase de estudiantes a una isla con un objetivo: mata al terrorista internacional Shuya Nanahara."
27705,En el infierno (2003),Acción | drama | thriller,Un hombre debe sobrevivir a una prisión donde los criminales endurecidos luchan contra la muerte por el entretenimiento de los guardias.
27706,Lemony Snicket es una serie de eventos desafortunados (2004),Aventura | Niños | Comedia | Fantasía,"Cuando un incendio masivo mata a sus padres, tres hijos se entregan a la custodia del primo y el actor de la etapa, el conteo de la OLAF, que está conspirando en secreto para robar la vasta fortuna de sus padres."
27708,Helen de Troy (2003),Acción | aventura | drama | romance,"El secuestro de Helea Helen, esposa del rey Spartan Menelaus, por París de Troy, desencadena una larga guerra."
27716,"Carniceros verdes, la (GrÃ¸nne Slagtere, DE) (2003)",Comedia | crimen | drama | romance,"2 Los amigos daneses están cansados ​​de su empleador y abren su propia carnicería. Un electricista muere accidentalmente en el congelador y se vende como pollo y negocios marinados. ¿Qué pasa cuando se quedan sin ""pollo""?"
27721,"Compromiso muy largo, A (Dimancha de Fiançailles (ONU Long) (2004)",Drama | Misterio | Romance | Guerra,"Cuenta la historia de la increíble búsqueda de una mujer joven para su novio, que ha desaparecido de las trincheras del Somme durante la Segunda Guerra Mundial."
27722,Última vida en el universo (Ruang Rak Noi Nid Mahasan) (2003),Drama | Romance,Un bibliotecario japonés suicida y obsesivamente compulsivo se ve obligado a estar bajo en Tailandia con una mujer para fumar para botes que se enfrenta a la reciente pérdida de su hermana.
27728,Fantasma en la concha 2: Inocencia (a.k.a. Inocencia) (Inosensu) (2004),Acción | Animación | Drama | Ciencia ficción | Thriller,"En el año 2032, Batã', un detective Cyborg para la unidad de seguridad pública de la Unidad antiterrorista, la Sección 9, investiga el caso de un robot femenino, uno creado únicamente por placer sexual, quien mató a su dueño."
27731,"Gato Returns, The (Neko No Ongaeshi) (2002)",Aventura | Animación | Niños | Fantasía,"Después de ayudar a un gato, una niña de diecisiete años se encuentra involuntariamente comprometida con un príncipe gato en un mundo mágico en el que su única esperanza de libertad se encuentra con una estatuilla de gato de Dapper cobra vida."
27741,"Twilight Samurai, The (Tasogare Seibei) (2002)",Drama | Romance,"A medida que la era de Japón Feudal se acerca, un samurai viudo experimenta dificultad para equilibrar las lealtades de los clan, 2 hijas jóvenes, una madre envejecida y la repentina reaparición de su novia."
27744,"Frente a las ventanas (Finstra Di Fronte, LA) (2003)",Drama | Romance,"Obligado y atrapado en un matrimonio en gris, Giovanna lleva a cuidar al sobreviviente del Holocausto judío, su esposo trae a casa. Mientras comienza a reflexionar sobre su vida, se vuelve hacia el hombre que vive frente a ella ..."
27746,Ginger Snaps: desatado (2004),Horror | Suspenso,"La hermana de Ginger Brigitte, ahora un hombre lobo, debe tratar de encontrar una cura para su lujuria de sangre antes de la próxima luna llena mientras se esconde en una clínica de rehabilitación de un hombre lobo implacable."
27751,Lote de Salem (2004),Drama | Horror | Misterio | Thriller,El escritor Ben MEARS (Rob Lowe) regresa a su hogar de la infancia del lote de Jerusalén y descubre que está siendo aterrorizado por los vampiros.
27762,Comic Book: The Movie (2004),Comedia,"La relación entre Hollywood y la cultura del libro de cómics se lambastan en este burco, ya que un personaje heroico amado es Rung a través del sistema de estudio."
27768,Extraños íntimos (confidencias trop intimos) (2004),Drama,"Una francesa le dice a sus problemas conyugales a un hombre que confíe por un psiquiatra, y pronto forman una relación inusual."
27769,Hasta el hueso (2004),Drama,"Una mujer atrapada en un matrimonio rancio lucha por criar a sus hijos y manejar su hábito secreto de drogas. Pero cuando el invierno llega a su pequeña ciudad, su acto de equilibrio comienza a desplegar."
27772,Ju-On: The Groud (2002),Horror,Un espíritu misterioso y vengativo marca y persigue a cualquiera que se atreva a ingresar a la casa en la que reside.
27773,Viejo niño (2003),Misterio | Suspenso,"Después de ser secuestrados y encarcelados durante quince años, OH DAE-SU es liberado, solo para encontrar que debe encontrar su captor en cinco días."
27776,Luces rojas (Feux Rouges) (2004),Drama,Antoine y Helene conduce a Sur France para devolver a sus hijos desde un campamento de vacaciones. El tráfico es denso y la atmósfera cadagientemente tensa.
27778,El jengibre se ajusta hacia atrás: el comienzo (2004),Fantasía | Horror,"Ubicado en el siglo XIX, Canadá, Brigette y su hermana Ginger se refugian en un fuerte de los comerciantes, que más tarde se convierte en SIEGE por algunos hombres lobo salvaje."
27784,Una llamada perdida (Chakushin Ari) (2003),Horror | misterio,"Las personas comienzan misteriosamente a recibir mensajes de correo de voz desde su futuro futuro, lo que incorpora sus muertes."
27788,"Chaqueta, el (2005)",Drama | Misterio | Ciencia ficción | Thriller,"Un veterano de guerra del Golfo se envía erróneamente a una institución mental para los criminales locos, donde se convierte en objeto de los experimentos de un médico, y su vida está completamente afectada por ellos."
27790,Millones (2004),Niños | Comedia | Crimen | Drama | Fantasía,"La ética, siendo humana y el alma pasa a primer plano cuando un niño de 7 años encuentra una bolsa de libras solo antes de que la moneda esté cambiada a euros y se entera de lo que estamos realmente hechos."
27793,Starrojos STARSHIP 2: HERO DE LA FEDERACIÓN (2004),Acción | horror | ciencia ficción | guerra,"En la secuela de la película de ciencia ficción amada / revelada de Paul Verhoeen, un grupo de soldados que se refugian en un puesto de avanzada abandonado después de luchar contra los insectos extraños, no se dan cuenta de que más peligro se espera."
27801,Ong-bak: el guerrero tailandés (Ong Bak) (2003),Acción | Thriller,"Cuando se roba la cabeza de una estatua sagrada a un pueblo, un joven artista marcial va a la gran ciudad y se encuentra asumiendo el inframundo para recuperarlo."
27802,Asuntos infernales 2 (Mou Gaan Dou II) (2003),Acción | Delito | Drama | Thriller,"En esta precuela de Mou Gaan Dou (2002), Chan Wing Yan se ha convertido en un policía encubierto en las tríadas, mientras que Lau Kin Ming se une a la fuerza policial. Tanto las tríadas como la policía encuentran a un enemigo en un jefe de crimen rival."
27803,"Mar dentro, el (Mar Adentro) (2004)",Drama,"La historia fáctica del español Ramon Sampedro, quien luchó con una campaña de treinta años a favor de la eutanasia y su propio derecho a morir."
27808,Spanglish (2004),Comedia | drama | romance,"Una mujer y su hija emigran de México por una vida mejor en América, donde comienzan a trabajar para una familia donde el patriarca es un chef recién celebrado con una esposa insegura."
27815,"Coro, The (Choristes, Les) (2004)",Drama,El nuevo maestro en una escuela de embarque de niños severamente administrados funciona para afectar positivamente la vida de los estudiantes a través de la música.
27816,Santos y soldados (2003),Acción | aventura | drama | guerra,Cuatro soldados estadounidenses y un británico luchando en Europa durante la lucha de la Segunda Guerra Mundial para regresar al territorio aliado después de estar separados de las fuerzas de los Estados Unidos durante la histórica Malmedy Massacre.
27820,"Historia del camello llorón, el (Geschichte vom Weindenden Kamel, Die) (2003)",Documental | drama,"Cuando su madre rechaza el nuevo CAMEL de la familia nómada de un mongol, se necesita un músico para un ritual para cambiar su mente."
27821,"Intérprete, el (2005)",Drama | Suspenso,"La intriga y el engaño político se despliegan dentro de las Naciones Unidas, donde se le asigna a un agente de servicio secreto de Estados Unidos para investigar un intérprete que escucha una trama de asesinato."
27822,Agua abierta (2003),Drama | Suspenso,Basado en la verdadera historia de dos buceadores accidentalmente varados en las aguas infestadas de tiburón después de que su barco turístico se haya ido.
27826,Toque de rosa (2004),Comedia | drama | romance,Un canadiense gay que vive en Londres tiene su vida útil perfectamente artesanal cuando su madre devocadamente musulmana viene a visitar.
27829,Slasher (2004),Documental,"Un documental en un vendedor de automóviles usados ​​estereotipados con sombra, uno que convence a los clientes a comprar vehículos que otros han considerado que no sean aptos para la venta."
27830,"Bobby Jones, Stroke of Genius (2004)",Drama,"Jim Caviezel Estrellas como la leyenda de golf Bobby Jones, el icono que se retiró de la competencia a la tierna edad de 28 años."
27831,Pastel de capa (2004),Crimen drama suspenso,Un exitoso distribuidor de cocaína obtiene dos tareas difíciles de su jefe en la víspera de su jubilación anticipada planificada.
27834,"Retorno, el (Vozvrashcheniye) (2003)",Drama,"En el desierto ruso, dos hermanos enfrentan una gama de emociones nuevas y conflictivas cuando su padre, un hombre, solo conocen a través de una sola fotografía: resurges."
27837,Vuelo del Phoenix (2004),Acción | aventura,Los sobrevivientes de un accidente aéreo en el desierto de Mongolian trabajan juntos para construir un nuevo plano.
27838,Mean Creek (2004),Drama | Suspenso,"Cuando un adolescente es intimidado, su hermano y sus amigos atraen a la intimidación en el bosque para buscar venganza."
27839,"Anillo dos, el (2005)",Drama | Horror | Misterio | Thriller,"6 meses después de los incidentes que involucran la videocámara letal, las nuevas pistas demuestran que hay un nuevo malvado en la oscuridad."
27846,"Corporación, la (2003)",Documental,Documental que analiza el concepto de la corporación a través de la historia reciente hasta su dominio actual.
27850,"Sí, hombres, el (2003)",Documental,"Los activistas antiintorietores viajan de la conferencia a la conferencia, miembro que impersonaba a la Organización Mundial del Comercio."
27865,Azumi (2003),Acción | Aventura | Drama | Thriller,"Levantados para hacer frente a la muerte de sangre fría, la niña adolescente de Asessin Azumi debe derrotar a tres señores de la guerra malvados mientras también luchan contra su propio corazón."
27866,En el den de mi padre (2004),Drama,"Un regreso de desilusión de la guerra, el regreso a casa está destrozado cuando se implica en la misteriosa desaparición de una adolescente, se ha hecho amigo."
27869,Tae Guk GI: La Hermandad de la Guerra (Taegukgi Hwinalrimyeo) (2004),Acción | drama | guerra,"Cuando dos hermanos se ven obligados a luchar en la guerra de Corea, el Elder decide tomar las misiones más riesgosas si ayudará a proteger a los más jóvenes de la batalla."
27873,Metallica: algún tipo de monstruo (2004),Documental,"La icónica banda de metal lucha durante dos años para crear su álbum St. Iro en la ira, lidiar con el alcoholismo, la pérdida de su bajista y el desafío de trabajar con un psicoterapeuta."
27878,Nacido en burdeles (2004),Documental,"Dos cineastas documentales Chronicle su tiempo en Sonagchi, Calcuta y las relaciones que desarrollaron con hijos de prostitutas que trabajan en el famoso distrito de luz roja de la ciudad."
27879,¡Cavar! (2004),Documental,"Un documental en las bandas de rock estadounidense una vez prometedor, la masacre de Brian Jonestown y la Dandy Warhols, y la amistad / rivalidad entre sus responsables de sus respectivos fundadores, Anton Newcombe y Courtney Taylor."
27882,Giants de montar (2004),Documental,Documental que detalla los orígenes y la historia de la cultura de surf.
27899,¡Qué # $ *! ¿¡Sabemos!? (A.K.A. ¿Qué soplan el pitido?) (2004),Comedia | Documental | Drama,La búsqueda de un fotógrafo de ficción para redescubrir espiritualmente a sí misma está intercalada con imágenes documentales de científicos y teólogos que discuten los aspectos filosóficos de la física cuántica.
27904,"Escáner oscuro, a (2006)",Animación | Drama | Misterio | Ciencia ficción | Thriller,Un policía encubierto en un futuro no demasiado lejano se involucra con un nuevo medicamento peligroso y comienza a perder su propia identidad como resultado.
27905,CASSEMIENTE (2004),Acción | drama | fantasía | ciencia ficción,Película de ciencia ficción de acción en vivo basada en un animado japonés de 1973 (Shinzo Ningen CasshÃ ¢ n). Canción temática de utada hikaru.
27912,Outfoxed: la guerra de Rupert Murdoch en el periodismo (2004),Documental,"Documental sobre el sesgo conservador informado del canal de noticias de Fox de Rupert Murdoch, que se promueve como ""justo y equilibrado"". El material incluye entrevistas con ex empleados de FNC y los números de Inter-Office que proporcionaron."
30707,Million Dollar Baby (2004),Drama,Una mujer decidida trabaja con un entrenador de boxeo endurecido para convertirse en un profesional.
30745,Gozu (Gokudã' Kyã'fu dai-gekijã': gozu) (2003),Comedia | crimen | drama | horror | misterio,"Se le ordena a un enforcer de Yakuza que conduzca en secreto a su querido colega a ser asesinado. Pero cuando el colega desaparece sin certeza en ruta, el viaje que sigue es una experiencia torcida, surrealista y horrible."
30749,Hotel Ruanda (2004),Drama | guerra,"Paul Rusesabagina, un gerente de hotel, alberga a más de mil refugiados tutsi durante su lucha contra la milicia hutu en Ruanda, África."
30793,Charlie y la fábrica de chocolate (2005),Aventura | Niños | Comedia | Fantasía | Imax,"Un niño pequeño gana un recorrido por la fábrica de chocolate más magnífica del mundo, dirigida por el fabricante de dulces más inusuales del mundo."
30803,3-hierro (bin-jip) (2004),Drama | Romance,Un joven transitorio se rompe en las casas vacías para participar de la vida de los residentes de vacaciones por unos días.
30810,"Vida acuática con Steve Zissou, The (2004)",Aventura | Comedia | Fantasía,"Con un plan para vengarse exactos en un tiburón mítico que mató a su pareja, el oceanogodógrafo Steve Zissou (Bill Murray) se remonta a una tripulación que incluye a su esposa alejada, periodista y un hombre que pueda o no ser su hijo."
30812,"Aviator, el (2004)",Drama,Un biopic que representa los primeros años del director legendario y la carrera de Aviator Howard Hughes desde finales de la década de 1920 hasta mediados de la década de 1940.
30816,"Fantasma de la ópera, la (2004).",Drama | Musical | Romance,Una joven soprano se convierte en la obsesión de un genio musical desfigurado y asesino que vive debajo de la Casa Opén de París.
30818,Más allá del mar (2004),Drama | Musical,"Un estudio de desmayo de ""Mack The Knife"" Singer Bobby Darin y específicamente su relación con la esposa Sandra Dee."
30820,"Woodsman, The (2004)",Drama,Un abuso de niño regresa a su ciudad natal después de 12 años de prisión e intenta iniciar una nueva vida.
30822,En buena compañía (2004),Comedia | drama,Un AD EXEC de mediana edad se enfrenta a un nuevo jefe que tiene casi la mitad de su edad ... y que también pasa a dormir con su hija.
30825,Conozca los fockers (2004),Comedia,Todo el infierno se suelta cuando la familia Byrnes se encuentra con la familia Focker por primera vez.
30846,"Asesinado a Richard Nixon, el (2004)",Crimen drama suspenso,"Sobre la base de los eventos de la vida real, el asesinato se establece en 1974 y se centra en un hombre de negocios que decide tomar medidas extremas para lograr su sueño estadounidense."
30848,"Canción de amor para Bobby Long, A (2004)",Drama,Una joven testaruda regresa a Nueva Orleans después de la muerte de su madre alejada.
30850,"Comerciante de Venecia, el (2004)",Drama,"En Venecia del siglo XVI, cuando un comerciante debe incumplir un gran préstamo de un préstamo judío abusado para un amigo con ambiciones románticas, el acreedor amargamente vengativo exige un espantoso pago."
30883,FAT ALBERT (2004),Comedia | fantasía,"Gordo Albert y los niños de Cosby cobran vida y salen de su mundo de Filadelfia animado, de la ciudad interior."
30890,"Claves de la casa, la (Chiavi di Casa, LE) (2004)",Drama,"Conocer a su hijo discapacitado por primera vez, un joven padre intenta forjar una relación con el adolescente."
30892,En los reinos de los irreales (2004).,Animación | Documental,"Un documental sobre Henry Darger, artista visionario, conserje y novelista."
30894,Ruido blanco (2005),Drama | Horror | Misterio | Ciencia ficción | Thriller,El deseo de un arquitecto de hablar con su esposa de más allá de la tumba se convierte en una obsesión con las repercusiones sobrenaturales.
30898,"Al revés de la ira, el (2005)",Comedia | drama | romance,"Cuando su esposo desaparece inesperadamente, una esposa suburbana y afilada y sus hijas fallan con los dilemas románticos de su madre y las dinámicas familiares."
30994,Little Miss Marker (1980),Comedia | drama,La vida de una broma de la bruja se pone en marcha cuando recibe un niño de 6 años como colateral para una apuesta.
31000,Sweet Liberty (1986),Comedia,"Después de vender los derechos de su libro a una compañía de producción de películas, un escritor se encuentra combatiendo los muchos egos y variando vistas a su alrededor."
